start_idx_attack,end_idx_attack,attack_duration,time_to_detect,idx_detection_abs,idx_detection_rel,attack_len,attack_type,fpr,tpr,pr,rec,tn,fp,fn,tp,target_fpr,detected
24102,35538,29063697000 nanoseconds,1185590000 nanoseconds,24366,141,8145,BF1_DDoS_AD,,0.08336402701043585,1.0,0.08336402701043585,,0,7466,679,0.01,1
79207,99894,0 days 00:00:28.272247,0 days 00:00:00.024322,79231,19,17324,BF1_DDoS_AD,,0.07284691757099977,1.0,0.07284691757099977,,0,16062,1262,0.01,1
100321,118456,0 days 00:00:19.098815,0 days 00:00:00.127749,100616,267,15881,BF1_DDoS_AD,,0.044959385429129146,1.0,0.044959385429129146,,0,15167,714,0.01,1
141997,156403,0 days 00:00:18.066497,0 days 00:00:00.042399,142011,9,12026,BF1_DDoS_AD,,0.0793281224014635,1.0,0.0793281224014635,,0,11072,954,0.01,1
156967,165776,0 days 00:00:10.052762,0 days 00:00:00.009039,156986,18,7540,BF1_DDoS_AD,,0.08289124668435013,1.0,0.08289124668435013,,0,6915,625,0.01,1
168352,198397,0 days 00:00:29.475420,0 days 00:00:00.077323,168509,147,26163,BF1_DDoS_AD,,0.05893819516110538,1.0,0.05893819516110538,,0,24621,1542,0.01,1
229247,233261,0 days 00:00:13.652660,0 days 00:00:02.538680,229952,414,2278,BF1_DDoS_AD,,0.02019315188762072,1.0,0.02019315188762072,,0,2232,46,0.01,1
239054,246270,0 days 00:00:18.326114,0 days 00:00:08.138318,241471,1342,4803,BF1_DDoS_AD,,0.009577347491151364,1.0,0.009577347491151364,,0,4757,46,0.01,1
275848,284592,0 days 00:00:10.006354,0 days 00:00:01.617648,277558,1514,7719,BF1_DDoS_AD,,0.014898302888975257,1.0,0.014898302888975257,,0,7604,115,0.01,1
285299,312986,0 days 00:00:28.652963,0 days 00:00:01.886698,286425,915,24635,BF1_DDoS_AD,,0.03965902171706921,1.0,0.03965902171706921,,0,23658,977,0.01,1
331597,352995,0 days 00:00:21.147005,0 days 00:00:00.294021,331640,37,19165,BF1_DDoS_AD,,0.06877119749543438,1.0,0.06877119749543438,,0,17847,1318,0.01,1
359552,378781,0 days 00:00:15.915717,0 days 00:00:00.003233,359561,5,17269,BF1_DDoS_AD,,0.024263130464995078,1.0,0.024263130464995078,,0,16850,419,0.01,1
388550,415085,0 days 00:00:25.802490,0 days 00:00:00.853390,389272,663,23752,BF1_DDoS_AD,,0.025766251263051532,1.0,0.025766251263051532,,0,23140,612,0.01,1
423316,445999,0 days 00:00:20.931101,0 days 00:00:00.148872,423648,295,20186,BF1_DDoS_AD,,0.045229366887942136,1.0,0.045229366887942136,,0,19273,913,0.01,1
454774,485827,0 days 00:00:28.357632,0 days 00:00:00.070817,454919,134,28005,BF1_DDoS_AD,,0.0839850026780932,1.0,0.0839850026780932,,0,25653,2352,0.01,1
506000,533305,0 days 00:00:26.825170,0 days 00:00:00.046233,506062,43,23874,BF1_DDoS_AD,,0.01625198961213035,1.0,0.01625198961213035,,0,23486,388,0.01,1
544377,547857,0 days 00:00:18.242910,0 days 00:00:18.242910,547857,1509,1510,Delay_DDoS_AD,,0.0,0.0,0.0,,0,1510,0,0.01,0
560256,568499,0 days 00:00:27.646528,0 days 00:00:27.646528,568499,4704,4705,Delay_DDoS_AD,,0.0,0.0,0.0,,0,4705,0,0.01,0
596656,612040,0 days 00:00:29.592290,0 days 00:00:28.980541,611650,11664,11947,Delay_DDoS_AD,,0.0004185151083954131,1.0,0.0004185151083954131,,0,11942,5,0.01,1
652636,662445,0 days 00:00:19.999873,0 days 00:00:02.004846,653608,778,7888,Delay_DDoS_AD,,0.006845841784989858,1.0,0.006845841784989858,,0,7834,54,0.01,1
664924,678054,0 days 00:00:24.777897,0 days 00:00:01.441378,665772,756,11076,Delay_DDoS_AD,,0.009570241964608163,1.0,0.009570241964608163,,0,10970,106,0.01,1
705714,722036,0 days 00:00:29.005418,0 days 00:00:01.228120,706458,527,13118,Delay_DDoS_AD,,0.007470651013874066,1.0,0.007470651013874066,,0,13020,98,0.01,1
742820,758712,0 days 00:00:27.463493,0 days 00:00:00.121480,742878,49,12375,Delay_DDoS_AD,,0.004767676767676768,1.0,0.004767676767676768,,0,12316,59,0.01,1
772919,779794,0 days 00:00:12.191516,0 days 00:00:12.191516,779794,5606,5607,Delay_DDoS_AD,,0.0,0.0,0.0,,0,5607,0,0.01,0
781470,795841,0 days 00:00:25.286434,0 days 00:00:11.997329,788267,5557,11777,Delay_DDoS_AD,,0.005858877473040673,1.0,0.005858877473040673,,0,11708,69,0.01,1
822979,836201,0 days 00:00:22.450136,0 days 00:00:00.099518,823070,71,10367,Delay_DDoS_AD,,0.013600848847303944,1.0,0.013600848847303944,,0,10226,141,0.01,1
841016,849102,0 days 00:00:13.973778,0 days 00:00:01.718904,842053,762,6247,Delay_DDoS_AD,,0.007043380822794942,1.0,0.007043380822794942,,0,6203,44,0.01,1
899889,906485,0 days 00:00:12.112662,0 days 00:00:09.857383,905228,4276,5284,Delay_DDoS_AD,,0.0034065102195306586,1.0,0.0034065102195306586,,0,5266,18,0.01,1
969127,974966,0 days 00:00:11.376151,0 days 00:00:00.089820,969184,50,4651,Delay_DDoS_AD,,0.0122554289400129,1.0,0.0122554289400129,,0,4594,57,0.01,1
976420,990746,0 days 00:00:28.705020,0 days 00:00:01.499524,977135,597,11716,Delay_DDoS_AD,,0.007681802663024923,1.0,0.007681802663024923,,0,11626,90,0.01,1
1008250,1018780,0 days 00:00:19.688829,0 days 00:00:00.697116,1008597,311,8384,Delay_DDoS_AD,,0.0026240458015267176,1.0,0.0026240458015267176,,0,8362,22,0.01,1
1021444,1035880,0 days 00:00:26.590143,0 days 00:00:07.512233,1025475,3228,11582,Delay_DDoS_AD,,0.006734588154032119,1.0,0.006734588154032119,,0,11504,78,0.01,1
1039429,1046711,0 days 00:00:13.004171,0 days 00:00:02.144947,1040626,976,5919,Delay_DDoS_AD,,0.00963000506842372,1.0,0.00963000506842372,,0,5862,57,0.01,1
1059198,1070784,0 days 00:00:21.019296,0 days 00:00:00.291717,1059333,100,9098,Delay_DDoS_AD,,0.09397669817542317,1.0,0.09397669817542317,,0,8243,855,0.01,1
1086702,1091038,0 days 00:00:17.714430,0 days 00:00:00,1086702,0,2289,SYN-DDoS-AD,,0.6330275229357798,1.0,0.6330275229357798,,0,840,1449,0.01,1
1121463,1125060,0 days 00:00:16.815529,0 days 00:00:00,1121463,0,2073,SYN-DDoS-AD,,0.2301013024602026,1.0,0.2301013024602026,,0,1596,477,0.01,1
1156393,1159373,0 days 00:00:11.785749,0 days 00:00:11.785749,1159373,1822,1823,SYN-DDoS-AD,,0.0,0.0,0.0,,0,1823,0,0.01,0
1171106,1178661,0 days 00:00:27.301842,0 days 00:00:27.301842,1178661,4097,4098,SYN-DDoS-AD,,0.0,0.0,0.0,,0,4098,0,0.01,0
1233428,1239484,0 days 00:00:22.104770,0 days 00:00:06.858795,1235250,1029,3480,SYN-DDoS-AD,,0.5169540229885058,1.0,0.5169540229885058,,0,1681,1799,0.01,1
1263573,1268013,0 days 00:00:15.724618,0 days 00:00:00,1263573,0,2446,SYN-DDoS-AD,,0.7489779231398201,1.0,0.7489779231398201,,0,614,1832,0.01,1
1308188,1310920,0 days 00:00:10.210679,0 days 00:00:00,1308188,0,1626,SYN-DDoS-AD,,0.8056580565805658,1.0,0.8056580565805658,,0,316,1310,0.01,1
1338098,1343032,0 days 00:00:19.747955,0 days 00:00:00,1338098,0,3040,SYN-DDoS-AD,,0.8253289473684211,1.0,0.8253289473684211,,0,531,2509,0.01,1
1343068,1348869,0 days 00:00:23.283047,0 days 00:00:00,1343068,0,3455,SYN-DDoS-AD,,0.7939218523878437,1.0,0.7939218523878437,,0,712,2743,0.01,1
1390499,1397096,0 days 00:00:26.844096,0 days 00:00:00.064307,1390523,11,3678,SYN-DDoS-AD,,0.7523110386079391,1.0,0.7523110386079391,,0,911,2767,0.01,1
1418369,1423133,0 days 00:00:17.698991,0 days 00:00:00,1418369,0,2846,SYN-DDoS-AD,,0.6788475052705552,1.0,0.6788475052705552,,0,914,1932,0.01,1
1425881,1428955,0 days 00:00:12.410412,0 days 00:00:00,1425881,0,1957,SYN-DDoS-AD,,0.7598364844149208,1.0,0.7598364844149208,,0,470,1487,0.01,1
1431743,1438526,0 days 00:00:24.095134,0 days 00:00:00.072958,1431754,1,3904,SYN-DDoS-AD,,0.1677766393442623,1.0,0.1677766393442623,,0,3249,655,0.01,1
1448476,1453449,0 days 00:00:17.410590,0 days 00:00:17.410590,1453449,2692,2693,SYN-DDoS-AD,,0.0,0.0,0.0,,0,2693,0,0.01,0
1499907,1503476,0 days 00:00:12.797764,0 days 00:00:12.797764,1503476,2087,2088,SYN-DDoS-AD,,0.0,0.0,0.0,,0,2088,0,0.01,0
1507651,1511305,0 days 00:00:13.335101,0 days 00:00:08.112453,1509843,1262,2095,SYN-DDoS-AD,,0.3322195704057279,1.0,0.3322195704057279,,0,1399,696,0.01,1
1519225,1524131,0 days 00:00:19.911307,0 days 00:00:00.033480,1519266,39,3020,SYN-DDoS-AD,,0.8026490066225166,1.0,0.8026490066225166,,0,596,2424,0.01,1
1558420,1565144,0 days 00:00:23.492155,0 days 00:00:00,1558420,0,3682,SYN-DDoS-AD,,0.7289516567083107,1.0,0.7289516567083107,,0,998,2684,0.01,1
1570867,1577445,0 days 00:00:24.146427,0 days 00:00:00,1570867,0,3686,SYN-DDoS-AD,,0.7699403147042865,1.0,0.7699403147042865,,0,848,2838,0.01,1
1616570,1620896,0 days 00:00:15.797724,0 days 00:00:00,1616570,0,2267,SYN-DDoS-AD,,0.7944419938244376,1.0,0.7944419938244376,,0,466,1801,0.01,1
1646391,1649082,0 days 00:00:12.707321,0 days 00:00:00,1646391,0,1520,Sub_DDoS_AD,,0.7144736842105263,1.0,0.7144736842105263,,0,434,1086,0.01,1
1652665,1660598,0 days 00:00:29.849686,0 days 00:00:00,1652665,0,4870,Sub_DDoS_AD,,0.7478439425051334,1.0,0.7478439425051334,,0,1228,3642,0.01,1
1664490,1681113,0 days 00:00:24.918272,0 days 00:00:00,1664490,0,13583,Sub_DDoS_AD,,0.6199661341382611,1.0,0.6199661341382611,,0,5162,8421,0.01,1
1685217,1699366,0 days 00:00:20.792056,0 days 00:00:20.792056,1699366,11702,11703,Sub_DDoS_AD,,0.0,0.0,0.0,,0,11703,0,0.01,0
1701047,1703894,0 days 00:00:09.975477,0 days 00:00:09.975477,1703894,1675,1676,Sub_DDoS_AD,,0.0,0.0,0.0,,0,1676,0,0.01,0
1706487,1712528,0 days 00:00:19.036947,0 days 00:00:19.036947,1712528,3536,3537,Sub_DDoS_AD,,0.0,0.0,0.0,,0,3537,0,0.01,0
1722708,1732732,0 days 00:00:14.409785,0 days 00:00:00.880630,1723669,849,8493,Sub_DDoS_AD,,0.6307547391969858,1.0,0.6307547391969858,,0,3136,5357,0.01,1
1773864,1781444,0 days 00:00:12.799086,0 days 00:00:00,1773864,0,6365,Sub_DDoS_AD,,0.7005498821681069,1.0,0.7005498821681069,,0,1906,4459,0.01,1
1790132,1797516,0 days 00:00:10.395027,0 days 00:00:00.002529,1790134,1,6122,Sub_DDoS_AD,,0.7683763475988239,1.0,0.7683763475988239,,0,1418,4704,0.01,1
1806229,1814941,0 days 00:00:11.280804,0 days 00:00:00,1806229,0,7225,Sub_DDoS_AD,,0.7278892733564014,1.0,0.7278892733564014,,0,1966,5259,0.01,1
1820219,1825433,0 days 00:00:10.397725,0 days 00:00:10.397725,1825433,3871,3872,Sub_DDoS_AD,,0.0,0.0,0.0,,0,3872,0,0.01,0
1886993,1910680,0 days 00:00:29.126464,0 days 00:00:29.126464,1910680,19890,19891,Sub_DDoS_AD,,0.0,0.0,0.0,,0,19891,0,0.01,0
1922028,1936219,0 days 00:00:22.120626,0 days 00:00:11.916385,1929180,5777,11590,Sub_DDoS_AD,,0.14978429680759275,1.0,0.14978429680759275,,0,9854,1736,0.01,1
1971023,1987515,0 days 00:00:23.232268,0 days 00:00:23.232268,1987515,13472,13473,Sub_DDoS_AD,,0.0,0.0,0.0,,0,13473,0,0.01,0
2000135,2015491,0 days 00:00:22.540218,0 days 00:00:22.540218,2015491,12798,12799,Sub_DDoS_AD,,0.0,0.0,0.0,,0,12799,0,0.01,0
2046957,2056402,0 days 00:00:12.529361,0 days 00:00:02.328823,2048976,1678,7907,Sub_DDoS_AD,,0.43847223978753,1.0,0.43847223978753,,0,4440,3467,0.01,1
2072676,2089910,0 days 00:00:26.657613,0 days 00:00:00.008447,2072697,12,13974,Sub_DDoS_AD,,0.3589523400601116,1.0,0.3589523400601116,,0,8958,5016,0.01,1
2112708,2122987,0 days 00:00:15.486076,0 days 00:00:15.486076,2122987,8371,8372,Sub_DDoS_AD,,0.0,0.0,0.0,,0,8372,0,0.01,0
2159109,2171283,0 days 00:00:16.589853,0 days 00:00:16.589853,2171283,10268,10269,Sub_DDoS_AD,,0.0,0.0,0.0,,0,10269,0,0.01,0
2172780,2179983,0 days 00:00:11.323610,0 days 00:00:11.323610,2179983,5909,5910,Sub_DDoS_AD,,0.0,0.0,0.0,,0,5910,0,0.01,0
2229131,2238384,0 days 00:00:16.669612,0 days 00:00:16.669612,2238384,7134,7135,Sub_DDoS_AD,,0.0,0.0,0.0,,0,7135,0,0.01,0
2253797,2269100,0 days 00:00:20.601679,0 days 00:00:05.723314,2258546,4088,12798,Sub_DDoS_AD,,0.4010001562744179,1.0,0.4010001562744179,,0,7666,5132,0.01,1
2309409,2318680,0 days 00:00:21.402387,0 days 00:00:00,2309409,0,6467,WILL_DDoS_AD,,0.33446729550023196,1.0,0.33446729550023196,,0,4304,2163,0.01,1
2323101,2342536,0 days 00:00:29.665017,0 days 00:00:00.007630,2323108,6,15894,WILL_DDoS_AD,,0.3523971309928275,1.0,0.3523971309928275,,0,10293,5601,0.01,1
2411288,2426860,0 days 00:00:23.902158,0 days 00:00:23.902158,2426860,13012,13013,WILL_DDoS_AD,,0.0,0.0,0.0,,0,13013,0,0.01,0
2459512,2470929,0 days 00:00:17.281121,0 days 00:00:15.856677,2470193,9040,9608,WILL_DDoS_AD,,0.030703580349708576,1.0,0.030703580349708576,,0,9313,295,0.01,1
2475510,2490046,0 days 00:00:28.532174,0 days 00:00:00,2475510,0,11435,WILL_DDoS_AD,,0.5290773939658941,1.0,0.5290773939658941,,0,5385,6050,0.01,1
2496355,2518768,0 days 00:00:29.497539,0 days 00:00:00.182768,2496441,40,19308,WILL_DDoS_AD,,0.11264760720944686,1.0,0.11264760720944686,,0,17133,2175,0.01,1
2528818,2550554,0 days 00:00:29.511603,0 days 00:00:09.892183,2535782,5749,17977,WILL_DDoS_AD,,0.3368748957000612,1.0,0.3368748957000612,,0,11921,6056,0.01,1
2560777,2574276,0 days 00:00:17.514297,0 days 00:00:00.016067,2560796,16,11619,WILL_DDoS_AD,,0.155435063258456,1.0,0.155435063258456,,0,9813,1806,0.01,1
2593081,2604462,0 days 00:00:14.735332,0 days 00:00:08.448316,2600095,6255,10034,WILL_DDoS_AD,,0.1941399242575244,1.0,0.1941399242575244,,0,8086,1948,0.01,1
2620181,2642538,0 days 00:00:27.473167,0 days 00:00:00,2620181,0,19359,WILL_DDoS_AD,,0.4744563252234103,1.0,0.4744563252234103,,0,10174,9185,0.01,1
2711672,2731512,0 days 00:00:28.674782,0 days 00:00:28.674782,2731512,17056,17057,WILL_DDoS_AD,,0.0,0.0,0.0,,0,17057,0,0.01,0
2791929,2807971,0 days 00:00:21.047112,0 days 00:00:14.848936,2803268,9862,13998,WILL_DDoS_AD,,0.14973567652521788,1.0,0.14973567652521788,,0,11902,2096,0.01,1
2811434,2829513,0 days 00:00:24.718208,0 days 00:00:00,2811434,0,15030,WILL_DDoS_AD,,0.34657351962741184,1.0,0.34657351962741184,,0,9821,5209,0.01,1
2843994,2866880,0 days 00:00:26.637122,0 days 00:00:00,2843994,0,19560,WILL_DDoS_AD,,0.17929447852760735,1.0,0.17929447852760735,,0,16053,3507,0.01,1
2888575,2908795,0 days 00:00:23.557431,0 days 00:00:23.557431,2908795,17257,17258,WILL_DDoS_AD,,0.0,0.0,0.0,,0,17258,0,0.01,0
2932391,2945054,0 days 00:00:18.258248,0 days 00:00:18.258248,2945054,10428,10429,WILL_DDoS_AD,,0.0,0.0,0.0,,0,10429,0,0.01,0
2945466,2957008,0 days 00:00:14.784301,0 days 00:00:14.784301,2957008,9921,9922,WILL_DDoS_AD,,0.0,0.0,0.0,,0,9922,0,0.01,0
2967253,2977589,0 days 00:00:15.727286,0 days 00:00:00.620156,2967882,597,8446,WILL_DDoS_AD,,0.4085957849869761,1.0,0.4085957849869761,,0,4995,3451,0.01,1
3037447,3059858,0 days 00:00:27.616451,0 days 00:00:27.616451,3059858,18896,18897,WILL_DDoS_AD,,0.0,0.0,0.0,,0,18897,0,0.01,0
3064638,3076849,0 days 00:00:14.172959,0 days 00:00:14.172959,3076849,10341,10342,WILL_DDoS_AD,,0.0,0.0,0.0,,0,10342,0,0.01,0
3091002,3112914,0 days 00:00:26.285856,0 days 00:00:26.285856,3112914,19050,19051,WILL_DDoS_AD,,0.0,0.0,0.0,,0,19051,0,0.01,0
3128490,3146139,0 days 00:00:24.065447,0 days 00:00:19.968905,3143715,13077,15102,WILL_DDoS_AD,,0.07449344457687723,1.0,0.07449344457687723,,0,13977,1125,0.01,1
3152819,3159163,0 days 00:00:10.631139,0 days 00:00:00,3152819,0,5309,WILL_DDoS_AD,,0.38877378037295157,1.0,0.38877378037295157,,0,3245,2064,0.01,1
3179521,3191294,0 days 00:00:13.553005,0 days 00:00:00.006331,3179535,8,10158,WILL_DDoS_AD,,0.560051191179366,1.0,0.560051191179366,,0,4469,5689,0.01,1
