start_idx_attack,end_idx_attack,attack_duration,time_to_detect,idx_detection_abs,idx_detection_rel,attack_len,attack_type,fpr,tpr,pr,rec,tn,fp,fn,tp,target_fpr,detected
1008250,1018780,0 days 00:00:19.688829,0 days 00:00:00,1008250,0,8384,Delay_DDoS_AD,,0.15660782442748092,1.0,0.15660782442748092,,0,7071,1313,0.05,1
1021444,1035880,0 days 00:00:26.590143,0 days 00:00:07.319812,1025362,3133,11582,Delay_DDoS_AD,,0.5828008979450872,1.0,0.5828008979450872,,0,4832,6750,0.05,1
1039429,1046711,0 days 00:00:13.004171,0 days 00:00:00,1039429,0,5919,Delay_DDoS_AD,,0.7291772258827505,1.0,0.7291772258827505,,0,1603,4316,0.05,1
1059198,1070784,0 days 00:00:21.019296,0 days 00:00:00,1059198,0,9098,Delay_DDoS_AD,,0.7935810068146846,1.0,0.7935810068146846,,0,1878,7220,0.05,1
1086702,1091038,0 days 00:00:17.714430,0 days 00:00:00,1086702,0,2289,SYN-DDoS-AD,,0.744429882044561,1.0,0.744429882044561,,0,585,1704,0.05,1
1121463,1125060,0 days 00:00:16.815529,0 days 00:00:00,1121463,0,2073,SYN-DDoS-AD,,0.2846116739025567,1.0,0.2846116739025567,,0,1483,590,0.05,1
1156393,1159373,0 days 00:00:11.785749,0 days 00:00:11.785749,1159373,1822,1823,SYN-DDoS-AD,,0.0,0.0,0.0,,0,1823,0,0.05,0
1171106,1178661,0 days 00:00:27.301842,0 days 00:00:27.301842,1178661,4097,4098,SYN-DDoS-AD,,0.0,0.0,0.0,,0,4098,0,0.05,0
1233428,1239484,0 days 00:00:22.104770,0 days 00:00:06.783409,1235220,1017,3480,SYN-DDoS-AD,,0.5778735632183908,1.0,0.5778735632183908,,0,1469,2011,0.05,1
1263573,1268013,0 days 00:00:15.724618,0 days 00:00:00,1263573,0,2446,SYN-DDoS-AD,,0.8221586263287,1.0,0.8221586263287,,0,435,2011,0.05,1
1308188,1310920,0 days 00:00:10.210679,0 days 00:00:00,1308188,0,1626,SYN-DDoS-AD,,0.8696186961869619,1.0,0.8696186961869619,,0,212,1414,0.05,1
1338098,1343032,0 days 00:00:19.747955,0 days 00:00:00,1338098,0,3040,SYN-DDoS-AD,,0.874671052631579,1.0,0.874671052631579,,0,381,2659,0.05,1
1343068,1348869,0 days 00:00:23.283047,0 days 00:00:00,1343068,0,3455,SYN-DDoS-AD,,0.860781476121563,1.0,0.860781476121563,,0,481,2974,0.05,1
1390499,1397096,0 days 00:00:26.844096,0 days 00:00:00.064307,1390523,11,3678,SYN-DDoS-AD,,0.8246329526916802,1.0,0.8246329526916802,,0,645,3033,0.05,1
1418369,1423133,0 days 00:00:17.698991,0 days 00:00:00,1418369,0,2846,SYN-DDoS-AD,,0.7786366830639494,1.0,0.7786366830639494,,0,630,2216,0.05,1
1425881,1428955,0 days 00:00:12.410412,0 days 00:00:00,1425881,0,1957,SYN-DDoS-AD,,0.8277976494634645,1.0,0.8277976494634645,,0,337,1620,0.05,1
1431743,1438526,0 days 00:00:24.095134,0 days 00:00:00.072958,1431754,1,3904,SYN-DDoS-AD,,0.21157786885245902,1.0,0.21157786885245902,,0,3078,826,0.05,1
1448476,1453449,0 days 00:00:17.410590,0 days 00:00:17.410590,1453449,2692,2693,SYN-DDoS-AD,,0.0,0.0,0.0,,0,2693,0,0.05,0
1499907,1503476,0 days 00:00:12.797764,0 days 00:00:12.797764,1503476,2087,2088,SYN-DDoS-AD,,0.0,0.0,0.0,,0,2088,0,0.05,0
1507651,1511305,0 days 00:00:13.335101,0 days 00:00:08.112453,1509843,1262,2095,SYN-DDoS-AD,,0.3470167064439141,1.0,0.3470167064439141,,0,1368,727,0.05,1
1519225,1524131,0 days 00:00:19.911307,0 days 00:00:00,1519225,0,3020,SYN-DDoS-AD,,0.8692052980132451,1.0,0.8692052980132451,,0,395,2625,0.05,1
1558420,1565144,0 days 00:00:23.492155,0 days 00:00:00,1558420,0,3682,SYN-DDoS-AD,,0.8147745790331342,1.0,0.8147745790331342,,0,682,3000,0.05,1
1570867,1577445,0 days 00:00:24.146427,0 days 00:00:00,1570867,0,3686,SYN-DDoS-AD,,0.8437330439500814,1.0,0.8437330439500814,,0,576,3110,0.05,1
1616570,1620896,0 days 00:00:15.797724,0 days 00:00:00,1616570,0,2267,SYN-DDoS-AD,,0.8663431848257609,1.0,0.8663431848257609,,0,303,1964,0.05,1
1646391,1649082,0 days 00:00:12.707321,0 days 00:00:00,1646391,0,1520,Sub_DDoS_AD,,0.8006578947368421,1.0,0.8006578947368421,,0,303,1217,0.05,1
1652665,1660598,0 days 00:00:29.849686,0 days 00:00:00,1652665,0,4870,Sub_DDoS_AD,,0.8287474332648871,1.0,0.8287474332648871,,0,834,4036,0.05,1
1664490,1681113,0 days 00:00:24.918272,0 days 00:00:00,1664490,0,13583,Sub_DDoS_AD,,0.6873297504233232,1.0,0.6873297504233232,,0,4247,9336,0.05,1
1685217,1699366,0 days 00:00:20.792056,0 days 00:00:20.792056,1699366,11702,11703,Sub_DDoS_AD,,0.0,0.0,0.0,,0,11703,0,0.05,0
1701047,1703894,0 days 00:00:09.975477,0 days 00:00:09.975477,1703894,1675,1676,Sub_DDoS_AD,,0.0,0.0,0.0,,0,1676,0,0.05,0
1706487,1712528,0 days 00:00:19.036947,0 days 00:00:19.036947,1712528,3536,3537,Sub_DDoS_AD,,0.0,0.0,0.0,,0,3537,0,0.05,0
1722708,1732732,0 days 00:00:14.409785,0 days 00:00:00.880630,1723669,849,8493,Sub_DDoS_AD,,0.7105851878017191,1.0,0.7105851878017191,,0,2458,6035,0.05,1
1773864,1781444,0 days 00:00:12.799086,0 days 00:00:00,1773864,0,6365,Sub_DDoS_AD,,0.7905734485467399,1.0,0.7905734485467399,,0,1333,5032,0.05,1
1790132,1797516,0 days 00:00:10.395027,0 days 00:00:00.002529,1790134,1,6122,Sub_DDoS_AD,,0.8364913426984646,1.0,0.8364913426984646,,0,1001,5121,0.05,1
1806229,1814941,0 days 00:00:11.280804,0 days 00:00:00,1806229,0,7225,Sub_DDoS_AD,,0.8076124567474049,1.0,0.8076124567474049,,0,1390,5835,0.05,1
1820219,1825433,0 days 00:00:10.397725,0 days 00:00:10.397725,1825433,3871,3872,Sub_DDoS_AD,,0.0,0.0,0.0,,0,3872,0,0.05,0
1886993,1910680,0 days 00:00:29.126464,0 days 00:00:11.557646,1895619,7149,19891,Sub_DDoS_AD,,0.041777688401789755,1.0,0.041777688401789755,,0,19060,831,0.05,1
1922028,1936219,0 days 00:00:22.120626,0 days 00:00:07.147573,1926022,3137,11590,Sub_DDoS_AD,,0.2894736842105263,1.0,0.2894736842105263,,0,8235,3355,0.05,1
1971023,1987515,0 days 00:00:23.232268,0 days 00:00:23.232268,1987515,13472,13473,Sub_DDoS_AD,,0.0,0.0,0.0,,0,13473,0,0.05,0
2000135,2015491,0 days 00:00:22.540218,0 days 00:00:22.540218,2015491,12798,12799,Sub_DDoS_AD,,0.0,0.0,0.0,,0,12799,0,0.05,0
2046957,2056402,0 days 00:00:12.529361,0 days 00:00:02.328697,2048973,1675,7907,Sub_DDoS_AD,,0.5352219552295434,1.0,0.5352219552295434,,0,3675,4232,0.05,1
