,accuracy,recall,precision,f1-score,fpr,tn,fp,fn,tp,attack
0,0.9850559387861573,0.9850559387861573,1.0,0.9924717178383493,,0,0,3867,254898,BF1_DDoS_AD
1,0.9996802630977938,0.9996802630977938,1.0,0.9998401059868887,,0,0,49,153202,Delay_DDoS_AD
2,0.9998044305372826,0.9998044305372826,1.0,0.9999022057058525,,0,0,11,56235,SYN-DDoS-AD
3,0.9999015972322927,0.9999015972322927,1.0,0.9999507961952511,,0,0,19,193065,Sub_DDoS_AD
4,0.998930129460484,0.998930129460484,1.0,0.9994647784213424,,0,0,348,324925,WILL_DDoS_AD
5,0.9018195870957909,0.0,0.0,0.0,1988221.0,1988220,216456,0,0,normal
