,accuracy,recall,precision,f1-score,fpr,tn,fp,fn,tp,attack
0,0.9454833536220123,0.9454833536220123,1.0,0.9719778397093498,,0,0,14107,244658,BF1_DDoS_AD
1,0.9846983053944183,0.9846983053944183,1.0,0.9922901659340406,,0,0,2345,150906,Delay_DDoS_AD
2,0.9841944316040252,0.9841944316040252,1.0,0.9920342643118912,,0,0,889,55357,SYN-DDoS-AD
3,0.9944117586128317,0.9944117586128317,1.0,0.997198050320835,,0,0,1079,192005,Sub_DDoS_AD
4,0.996492177340265,0.996492177340265,1.0,0.9982430070603091,,0,0,1141,324132,WILL_DDoS_AD
5,0.9515629507465042,0.0,0.0,0.0,2097889.0,2097888,106788,0,0,normal
